Dark-Light,Size,Salinity,Concentration,Distance_moved_Total,Velocity_Mean,Meander,Turn angle,Angular velocity,In_zone_Frequency,In_zone_Cumulative_duration,Movement_Mean,Movement,Freezing_Mean,Freezing_Frequency,Freezing_duration,,
Dark_3,L,25,Dark_3-MC3-25,0.0624004,0.0311874,8653.79,180,5397.79,1,120.032,,0,2.0008,1,2.0008,,
Light_1,L,25,Light_1-MC3-25,0.997062,0.498327,830.084,11.3716,341.008,4,118.232,0.216755,2,0.783654,2,1.56731,,
Light_1,L,25,Light_1-MC3-25,0,0,,,,1,120.032,,0,2.00081,1,2.00081,,
Light_1,L,25,Light_1-MC3-25,0,0,,,,1,120.032,,0,2.0008,1,2.0008,,
Light_2,L,25,Light_2-MC3-25,0.548052,0.273914,23055.9,5.81095,174.257,1,120.032,,0,2.00082,1,2.00082,,
Light_2,L,25,Light_2-MC3-25,0,0,,,,1,120.032,,0,2.00081,1,2.00081,,
Light_2,L,25,Light_2-MC3-25,0,0,,,,1,120.032,,0,2.0008,1,2.0008,,
Light_3,L,25,Light_3-MC3-25,0.113745,0.056849,10440.3,2.58391,77.4855,1,120.032,,0,2.00082,1,2.00082,,
Light_3,L,25,Light_3-MC3-25,7.39368,3.69536,57114,18.4417,553.032,1,120.032,0.0666933,3,0.450182,4,1.80073,,
Light_3,L,25,Light_3-MC3-25,0.0208001,0.0103958,,,,1,120.032,,0,2.0008,1,2.0008,,
Dark_1,LT,5,Dark_1-LT-5,45.0444,0.377576,-1491.12,2.15812,64.7443,21,57.7328,0.213331,20,5.49518,21,115.399,,
Dark_1,LT,5,Dark_1-LT-5,29.3293,0.244549,-568.438,0.176133,5.28406,14,95.399,0.206059,11,9.81101,12,117.732,,
Dark_1,LT,5,Dark_1-LT-5,30.695,0.255937,1622.23,0.124555,3.73668,17,39.1996,,0,119.999,1,119.999,,
Dark_1,LT,5,Dark_1-LT-5,40.6603,0.339028,357.534,-0.1772,-5.31604,31,91.1324,0.196427,56,1.91226,57,108.999,,
Dark_2,LT,5,Dark_2-LT-5,0.875536,0.437772,2423.73,-1.52066,-45.6204,0,0,,0,1.99998,1,1.99998,,
Dark_2,LT,5,Dark_2-LT-5,0.164148,0.082075,15067.9,1.4031,42.0935,1,1.99998,,0,1.99998,1,1.99998,,
Dark_2,LT,5,Dark_2-LT-5,0.481154,0.240579,17260,-3.32909,-99.8738,0,0,,0,1.99998,1,1.99998,,
Dark_2,LT,5,Dark_2-LT-5,0.845766,0.422887,-12414,-8.18377,-245.516,1,1.99998,0.166665,2,0.55555,3,1.66665,,
Dark_3,LT,5,Dark_3-LT-5,0.694833,0.34742,-27367.1,-12.3061,-369.185,0,0,0.199998,1,0.899991,2,1.79998,,
Dark_3,LT,5,Dark_3-LT-5,0.841786,0.420897,-15831.8,-7.80725,-234.22,5,1.79998,0.199998,1,0.899991,2,1.79998,,
Dark_3,LT,5,Dark_3-LT-5,0.605511,0.302759,4371.2,-9.03058,-270.92,0,0,,0,1.99998,1,1.99998,,
Dark_3,LT,5,Dark_3-LT-5,1.08391,0.541961,19835.4,25.6422,769.275,1,1.06666,0.055555,3,0.458329,4,1.83332,,
Light_1,LT,5,Light_1-LT-5,45.2147,0.377212,-1709.39,0.277711,8.33141,36,88.3991,0.404758,7,14.6457,8,117.165,,
Light_1,LT,5,Light_1-LT-5,27.0836,0.22595,3012.4,1.61481,48.4447,2,119.965,0.137877,22,5.08546,23,116.965,,
Light_1,LT,5,Light_1-LT-5,26.5347,0.22137,1020.39,1.14783,34.4352,18,97.3324,,0,119.999,1,119.999,,
Light_1,LT,5,Light_1-LT-5,49.6475,0.414194,-1613.19,-3.18802,-95.6415,87,54.0995,0.35208,32,3.29492,33,108.732,,
Light_2,LT,5,Light_2-LT-5,1.05001,0.525013,6772.69,21.0664,631.999,0,0,,0,1.99998,1,1.99998,,
Light_2,LT,5,Light_2-LT-5,0.370376,0.18519,13709.7,2.37746,71.3246,1,1.99998,,0,1.99998,1,1.99998,,
